rank,openalex_id,doi,title,year,venue,authors,cited_by_count,url,source_query,relevance_score,novelty_pressure,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract,concepts,keywords
1,https://openalex.org/W7154427458,,TouchAnything: Diffusion-Guided 3D Reconstruction from Sparse Robot Touches,2026,ArXiv.org,Langzhe Gu; Hung-Jui Huang; Mohamad Qadri; Michael Kaess; Wenzhen Yuan,0,https://arxiv.org/pdf/2604.08945,robot tactile occlusion hidden geometry manipulation,76.0,101.0,"recover object geometry from touch, vision, or multimodal observations",shape reconstruction; visuotactile fusion,"unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out | vision and touch provide complementary features over one shared latent object, not competing censoring processes","sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",may hallucinate plausible backsides that fail during manipulation | can fuse features while leaving the vision-censored ambiguity structurally intact,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Accurate object geometry estimation is essential for many downstream tasks, including robotic manipulation and physical interaction. Although vision is the dominant modality for shape perception, it becomes unreliable under occlusions or challenging lighting conditions. In such scenarios, tactile sensing provides direct geometric information through physical contact. However, reconstructing global 3D geometry from sparse local touches alone is fundamentally underconstrained. We present TouchAnything, a framework that leverages a pretrained large-scale 2D vision diffusion model as a semantic and geometric prior for 3D reconstruction from sparse tactile measurements. Unlike prior work that trains category-specific reconstruction networks or learns diffusion models directly from tactile data, we transfer the geometric knowledge encoded in pretrained visual diffusion models to the tactile domain. Given sparse contact constraints and a coarse class-level description of the object, we formulate reconstruction as an optimization problem that enforces tactile consistency while guiding solutions toward shapes consistent with the diffusion prior. Our method reconstructs accurate geometries from only a few touches, outperforms existing baselines, and enables open-world 3D reconstruction of previously unseen object instances. Our project page is https://grange007.github.io/touchanything .",Artificial intelligence; Computer vision; Computer science; Object (grammar); 3D reconstruction; Iterative reconstruction; Consistency (knowledge bases); Robot; Epipolar geometry; Robotics; Visualization; Solid modeling,Object (grammar); 3D reconstruction; Iterative reconstruction; Consistency (knowledge bases); Robot; Epipolar geometry; Robotics; Visualization; Solid modeling
2,https://openalex.org/W4200459484,https://doi.org/10.1109/iros51168.2021.9636150,Visual-Tactile Fusion for 3D Objects Reconstruction from a Single Depth View and a Single Gripper Touch for Robotics Tasks,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Mohamed Tahoun; Omar Tahri; Juan Antonio Corrales Ramon; Youcef Mezouar,10,https://hal.science/hal-03558917,robot tactile perception object shape reconstruction,75.124,100.124,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"The planning of robotic manipulation and grasping tasks depends on the reconstruction of the 3D objects shape. Most of the existing 3D object reconstruction methods are based on visual sensing that are limited due to the lack of the objects occluded side information. The goal of this paper is to overcome these limitations and improve the 3D objects reconstruction by adding the tactile sensing to the visual data. In this paper, a novel multi-modal (visual and tactile) semi-supervised generative model is presented to reconstruct the complete 3D objects shape using a single arbitrary depth-view and a single dexterous-hands touch. The presented approach takes the strength of the autoencoder and generative networks to provide an end-to-end trainable model with high generalization ability. The 3D voxel grids of the depth and tactile data are the only requirements of the proposed model to predict a high resolution voxel grids of 64 <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup> for the incomplete shape. This research generates its tactile dataset based on the kinematic model of the shadow dexterous hand. The developed dataset has aligned depth, tactile and ground truth voxel grids of different resolutions (40 <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup> , 64 <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup> and 128 <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup> ",Artificial intelligence; Computer vision; Robotics; Computer science; Fusion; Robot; Philosophy; Linguistics,Artificial intelligence; Computer vision; Robotics; Computer science; Fusion; Robot
3,https://openalex.org/W4322741562,https://doi.org/10.3390/s23052675,High-Precision 3D Reconstruction Study with Emphasis on Refractive Calibration of GelStereo-Type Sensors,2023,Sensors,Chaofan Zhang; Shaowei Cui; Shuo Wang; Jingyi Hu; Yipeng Huangfu; Boyue Zhang,12,https://www.mdpi.com/1424-8220/23/5/2675/pdf?version=1677658605,robot tactile perception object shape reconstruction,73.342,88.342,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"GelStereo sensing technology is capable of performing three-dimensional (3D) contact shape measurement under various contact structures such as bionic curved surfaces, which has promising advantages in the field of visuotactile sensing. However, due to multi-medium ray refraction in the imaging system, robust and high-precision tactile 3D reconstruction remains a challenging problem for GelStereo-type sensors with different structures. In this paper, we first propose a universal Refractive Stereo Ray Tracing (RSRT) model for GelStereo-type sensing systems to realize 3D reconstruction of the contact surface. Moreover, a relative geometry-based optimization method is presented to calibrate multiple parameters of the proposed RSRT model, such as the refractive indices and structural dimensions. Furthermore, extensive quantitative calibration experiments are performed on four different GelStereo sensing platforms; the experimental results show that the proposed calibration pipeline can achieve less than 0.35 mm in Euclidean distance error, based on which we believe that the proposed refractive calibration method can be further applied in more complex GelStereo-type and other similar visuotactile sensing systems. Such high-precision visuotactile sensors can facilitate the study of robotic dexterous manipulation.",Calibration; Computer science; Refraction; Computer vision; Artificial intelligence; 3D reconstruction; Pipeline (software); Ray tracing (physics); Optics; Mathematics; Physics; Statistics,Calibration; Computer science; Refraction; Computer vision; Artificial intelligence; 3D reconstruction; Pipeline (software); Ray tracing (physics); Optics; Mathematics; Physics
4,https://openalex.org/W4386607259,https://doi.org/10.1177/02783649231196925,Tac2Pose: Tactile object pose estimation from the first touch,2023,The International Journal of Robotics Research,Maria Bauza; Antonia Bronars; Alberto Rodriguez,42,https://journals.sagepub.com/doi/pdf/10.1177/02783649231196925,robot tactile perception object shape reconstruction,72.9,87.9,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"In this paper, we present Tac2Pose, an object-specific approach to tactile pose estimation from the first touch for known objects. Given the object geometry, we learn a tailored perception model in simulation that estimates a probability distribution over possible object poses given a tactile observation. To do so, we simulate the contact shapes that a dense set of object poses would produce on the sensor. Then, given a new contact shape obtained from the sensor, we match it against the pre-computed set using an object-specific embedding learned using contrastive learning. We obtain contact shapes from the sensor with an object-agnostic calibration step that maps RGB (red, green, blue) tactile observations to binary contact shapes. This mapping, which can be reused across object and sensor instances, is the only step trained with real sensor data. This results in a perception model that localizes objects from the first real tactile observation. Importantly, it produces pose distributions and can incorporate additional pose constraints coming from other perception systems, multiple contacts, or priors. We provide quantitative results for 20 objects. Tac2Pose provides high accuracy pose estimations from distinctive tactile observations while regressing meaningful pose distributions to account for those contact shapes that could result from different object poses. We extend and test Tac2Pose in multi-contact scenarios where two tactile sensors are simultaneously in contact with the object, as during a grasp with a parallel jaw gripper. We further show that when the output pose",Computer vision; Artificial intelligence; Pose; Tactile sensor; Object (grammar); Computer science; GRASP; Set (abstract data type); Embedding; 3D pose estimation; Pattern recognition (psychology); Robot,Computer vision; Artificial intelligence; Pose; Tactile sensor; Object (grammar); Computer science; GRASP; Set (abstract data type); Embedding; 3D pose estimation; Pattern recognition (psychology); Robot
5,https://openalex.org/W4396542177,https://doi.org/10.1109/lra.2024.3396054,TouchSDF: A DeepSDF Approach for 3D Shape Reconstruction Using Vision-Based Tactile Sensing,2024,IEEE Robotics and Automation Letters,Mauro Comi; Yijiong Lin; Alex Church; Alessio Tonioni; Laurence Aitchison; Nathan F. Lepora,21,https://doi.org/10.1109/lra.2024.3396054,robot tactile perception object shape reconstruction,72.027,87.027,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Humans rely on their visual and tactile senses to develop a comprehensive 3D understanding of their physical environment. Recently, there has been a growing interest in exploring and manipulating objects using data-driven approaches that utilise high-resolution vision-based tactile sensors. However, 3D shape reconstruction using tactile sensing has lagged behind visual shape reconstruction because of limitations in existing techniques, including the inability to generalise over unseen shapes, the absence of real-world testing and limited expressive capacity imposed by discrete representations. To address these challenges, we propose TouchSDF, a Deep Learning approach for tactile 3D shape reconstruction that leverages the rich information provided by a vision-based tactile sensor and the expressivity of the implicit neural representation DeepSDF. This combination allows TouchSDF to reconstruct smooth and continuous 3D shapes from tactile inputs in simulation and real-world settings, opening up research avenues for robust 3D-aware representations and improved multimodal perception for robot manipulation. Code and supplementary material are available at: <uri xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">https://touchsdf.github.io/</uri>",Computer vision; Artificial intelligence; Computer science; 3D reconstruction; Computer graphics (images),Computer vision; Artificial intelligence; Computer science; 3D reconstruction; Computer graphics (images)
6,https://openalex.org/W4417131467,https://doi.org/10.1109/lra.2025.3641115,End-to-End Diffusion-Based 3D Object Reconstruction From Robotic Tactile Sensing,2025,IEEE Robotics and Automation Letters,Han Zhang; Xiaohui Zhang; Jun Huang; Zhao Feng; Xiaohui Xiao,0,https://doi.org/10.1109/lra.2025.3641115,robot tactile perception object shape reconstruction,72.0,87.0,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Tactile sensing is essential for robotic perception in scenarios where visual input is limited or unavailable. In this work, we propose a fully tactile-based 3D object reconstruction framework that recovers object shapes exclusively from contact observations. A robotic system comprising a robotic arm, a robotic hand, and tactile sensors captures high-resolution tactile images during multi-contact grasps. These images are processed using TouchVIT to extract depth features, which are mapped to local point clouds via a CNN-based encoder and registered in 3D space using forward kinematics. To reconstruct the global object shape, we introduce TouchDiffusion, a conditional diffusion model that iteratively denoises Gaussian noise guided by the observed tactile geometry. We further develop a simulation environment built on TACTO and TactileGym to support data generation and enable sim-to-real transfer. Our framework enables high-fidelity, vision-free reconstruction of complex 3D objects from sparse tactile inputs. Experiments in both simulated and real-world settings validate the effectiveness and generalizability of our method, outperforming existing tactile-only approaches.",Artificial intelligence; Computer vision; Computer science; Object (grammar); Tactile sensor; Point cloud; Noise (video); 3D reconstruction; Grippers; Iterative reconstruction; Encoder; Robot,Object (grammar); Tactile sensor; Point cloud; Noise (video); 3D reconstruction; Grippers; Iterative reconstruction; Encoder; Robot
7,https://openalex.org/W2791288858,https://doi.org/10.1142/s0219843618500159,Active Tactile Exploration Based on Cost-Aware Information Gain Maximization,2018,International Journal of Humanoid Robotics,Simon Ottenhaus; Lukas Kaul; Nikolaus Vahrenkamp; Tamim Asfour,22,https://doi.org/10.1142/s0219843618500159,robot tactile perception object shape reconstruction,70.085,85.085,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Active tactile perception is a powerful mechanism to collect contact information by touching an unknown object with a robot finger in order to enable further interaction with the object or grasping of the object. The acquired object knowledge can be used to build object shape models based on such usually sparse tactile contact information. In this paper, we address the problem of object shape reconstruction from sparse tactile data gained from a robot finger that yields contact information and surface orientation at the contact points. To this end, we present an exploration algorithm which determines the next best touch target in order to maximize the estimated information gain and to minimize the expected costs of exploration actions. We introduce the Information Gain Estimation Function (IGEF), which combines different goals as measure for the quantification of the cost-aware information gain during exploration. The IGEF-based exploration strategy is validated in simulation using 48 publicly available object models and compared to state-of-the-art Gaussian processes-based exploration approaches. The results show the performance of the approach regarding exploration efficiency, cost-awareness and suitability for application in real tactile sensing scenarios.",Computer science; Object (grammar); Artificial intelligence; Computer vision; Orientation (vector space); Robot; Tactile sensor; Maximization; Humancomputer interaction; Mathematical optimization; Mathematics; Geometry,Computer science; Object (grammar); Artificial intelligence; Computer vision; Orientation (vector space); Robot; Tactile sensor; Maximization; Humancomputer interaction; Mathematical optimization
8,https://openalex.org/W2915117230,https://doi.org/10.3390/s19040966,Design and Calibration of a Force/Tactile Sensor for Dexterous Manipulation,2019,Sensors,Marco Costanzo; Giuseppe De Maria; Ciro Natale; Salvatore Pirozzi,44,https://www.mdpi.com/1424-8220/19/4/966/pdf?version=1551084772,robot tactile perception object shape reconstruction,68.96,83.96,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"This paper presents the design and calibration of a new force/tactile sensor for robotic applications. The sensor is suitably designed to provide the robotic grasping device with a sensory system mimicking the human sense of touch, namely, a device sensitive to contact forces, object slip and object geometry. This type of perception information is of paramount importance not only in dexterous manipulation but even in simple grasping tasks, especially when objects are fragile, such that only a minimum amount of grasping force can be applied to hold the object without damaging it. Moreover, sensing only forces and not moments can be very limiting to securely grasp an object when it is grasped far from its center of gravity. Therefore, the perception of torsional moments is a key requirement of the designed sensor. Furthermore, the sensor is also the mechanical interface between the gripper and the manipulated object, therefore its design should consider also the requirements for a correct holding of the object. The most relevant of such requirements is the necessity to hold a torsional moment, therefore a soft distributed contact is necessary. The presence of a soft contact poses a number of challenges in the calibration of the sensor, and that is another contribution of this work. Experimental validation is provided in real grasping tasks with two sensors mounted on an industrial gripper.",GRASP; Tactile sensor; Object (grammar); Computer vision; Contact force; Computer science; Grippers; Artificial intelligence; Calibration; Engineering; Simulation; Robot,GRASP; Tactile sensor; Object (grammar); Computer vision; Contact force; Computer science; Grippers; Artificial intelligence; Calibration; Engineering; Simulation; Robot
9,https://openalex.org/W4403444075,https://doi.org/10.48550/arxiv.2410.08337,DTactive: A Vision-Based Tactile Sensor with Active Surface,2024,arXiv (Cornell University),Jikai Xu; Wu Lei; Changyi Lin; Ding Zhao; Huazhe Xu,1,https://arxiv.org/pdf/2410.08337,robot tactile perception object shape reconstruction,68.903,83.903,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"The development of vision-based tactile sensors has significantly enhanced robots' perception and manipulation capabilities, especially for tasks requiring contact-rich interactions with objects. In this work, we present DTactive, a novel vision-based tactile sensor with active surfaces. DTactive inherits and modifies the tactile 3D shape reconstruction method of DTact while integrating a mechanical transmission mechanism that facilitates the mobility of its surface. Thanks to this design, the sensor is capable of simultaneously performing tactile perception and in-hand manipulation with surface movement. Leveraging the high-resolution tactile images from the sensor and the magnetic encoder data from the transmission mechanism, we propose a learning-based method to enable precise angular trajectory control during in-hand manipulation. In our experiments, we successfully achieved accurate rolling manipulation within the range of [ -180,180 ] on various objects, with the root mean square error between the desired and actual angular trajectories being less than 12 on nine trained objects and less than 19 on three novel objects. The results demonstrate the potential of DTactive for in-hand object manipulation in terms of effectiveness, robustness and precision.",Computer vision; Tactile sensor; Surface (topology); Artificial intelligence; Computer science; Mathematics; Geometry; Robot,Computer vision; Tactile sensor; Surface (topology); Artificial intelligence; Computer science; Mathematics; Geometry; Robot
10,https://openalex.org/W4406708319,https://doi.org/10.29026/oea.2025.240152,Multi-photon neuron embedded bionic skin for high-precision complex texture and object reconstruction perception research,2025,Opto-Electronic Advances,Hongyu Zhou; Chao Zhang; Hengchang Nong; Junjie Weng; Dongying Wang; Yang Yu; Jianfa Zhang; Chaofan Zhang,27,https://doi.org/10.29026/oea.2025.240152,robot tactile perception object shape reconstruction,68.341,79.341,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Attributable to the complex distribution of tactile vesicles under the skin and the ability of the brain to process specific tactile parameters (shape, hardness, and surface texture), human skin can have the capacity for tactile spatial reconstruction and visualization of complex object geometry and surface texture. However, current haptic sensor technologies are predominantly point sensors, which do not have an interlaced distribution structure similar to that of haptic vesicles, limiting their potential in human-computer interaction applications. Here, we report an optical microfiber array skin (OMAS) imitating tactile vesicle interlaced structures for tactile visualization and object reconstruction sensing. This device is characterized by high sensitivity (0.83 N/V) and fast response time (38 ms). We demonstrate that combining the signals collected by the OMAS with appropriate artificial intelligence algorithms enables the recognition of objects with different hardnesses and shapes with 100% accuracy. It also allows for the classification of fabrics with different surface textures with 98.5% accuracy and Braille patterns with 99% accuracy. As a proof-of-concept, we integrated OMAS into a robot arm to select mahjong among six common objects and successfully recognize its suits by touch, which provides a new solution for tactile sensory processing for human-computer interaction.",Perception; Texture (cosmology); Computer vision; Object (grammar); Artificial intelligence; Two-photon excitation microscopy; Computer science; Psychology; Neuroscience; Optics; Physics; Image (mathematics),Perception; Texture (cosmology); Computer vision; Object (grammar); Artificial intelligence; Two-photon excitation microscopy; Computer science; Psychology; Neuroscience; Optics; Physics; Image (mathematics)
